DEPARTMENT;CODE;DESCRIPTION;RATE
"ANAESTHESIOLOGY";"1067";"MINITRACHEOSTOMY";"30"
"ANAESTHESIOLOGY";"1068";"PERCUTANEOUS TRACHEOSTOMY (DISPOSABLES EXTRA";"100"
"ANAESTHESIOLOGY";"1069";"DISPOSABLE VENTILLATORY TUBINGS";"100"
"ANAESTHESIOLOGY";"1070";"PCA PUMPS";"30"
"ANAESTHESIOLOGY";"1071";"OBSERVATION IN RICU";"30"
"ANAESTHESIOLOGY";"1072";"PAIN CLINIC: TENS PER HOUR";"10"
"ANAESTHESIOLOGY";"1073";"NERVE BLOCKS";"10"
"ANAESTHESIOLOGY";"1074";"SPINAL STEROIDS";"70"
"ANAESTHESIOLOGY";"1075";"INVESTIGATIVE PROCEDURES UNDER GA";"100"
"ANAESTHESIOLOGY";"1076";"BRONCHOGRAMS/BRONCHOSCOPY";"100"
"ANAESTHESIOLOGY";"1077";"MYELOGRAM";"50"
"ANAESTHESIOLOGY";"1078";"M.R.I. ANAESTHESIA CHARGES";"100"
"ANAESTHESIOLOGY";"1079";"VENTILATOR CHARGES PER DAY (SIMPLE VENTILATO";"60"
"ANAESTHESIOLOGY";"1080";"VENTILATOR CHARGES PER DAY (SOPHISTICATED VEN";"100"
"ANAESTHESIOLOGY";"1081";"CT SCAN ANAESTHESIA CHARGES";"75"
"ANAESTHESIOLOGY";"1082";"C.CATH(SCLEROTHERAPY) AND STAND BY CATH";"70"
"ANAESTHESIOLOGY";"1083";"CENTRAL VENOUS CATHETERIZATION";"50"
"ANAESTHESIOLOGY";"1084";"RESUSCITATION";"50"
"ANAESTHESIOLOGY";"1085";"ARTERIAL BLOOD GAS (ABG)";"12"
"ANAESTHESIOLOGY";"1086";"SERUM ELECTROLYTES";"10"
"ANAESTHESIOLOGY";"1087";"ANAESTHESIA CONSULTATION";"15"
"ANAESTHESIOLOGY";"1088";"ANAESTHESIA FOR OP CASES (15 MINUTES)";"40"
"ANAESTHESIOLOGY";"1089";"SPINAL ANAESTHESIA";"100"
"ANAESTHESIOLOGY";"1090";"ANAESTHESIA FOR MINOR CASES (30 MINUTES)";"90"
"ANAESTHESIOLOGY";"1091";"REGIONAL ANAESTH.FOR MAJOR SURG.PROC.EPIDURAL";"200"
"ANAESTHESIOLOGY";"1092";"ANAESTHESIA FOR RADIATION ONCOLOGY (5 SITTIN";"75"
"ANAESTHESIOLOGY";"1093";"ANAESTHESIA FOR RADIATION ONCOLOGY (10 SITTIN";"150"
"ANAESTHESIOLOGY";"1094";"ANAESTH. FOR MAJOR SURG. WITH ENDOTRACHIAL TU";"275"
"ANAESTHESIOLOGY";"1095";"GEN. ANAES. FOR MAJOR SURG.WITH INVASIVE MONI";"400"
"ANAESTHESIOLOGY";"1096";"ANAESTHESIA FOR OHS(ASD, VSD)";"100"
"ANAESTHESIOLOGY";"1097";"ANAESTHESIA FOR OPERN HEART SURGERY (VALVES";"800"
"ANAESTHESIOLOGY";"1098";"FIBER OPTIC BRONCHOSCOPY FOR DIFFICULTY INTUB";"50"
"ANAESTHESIOLOGY";"1099";"RESPIRATORY THERAPY";"5"
"ANAESTHESIOLOGY";"1100";"MONITORED ANAESTHESIA CARE";"60"
"ANAESTHESIOLOGY";"LPTAN";"LIPID FREE PROPOFOL TRIAL";"231"
"ANAESTHESIOLOGY";"LPTAN2";"SAFETY OF PROPOFOL LIPID-FREE STUDY";"238"
"ANAESTHESIOLOGY";"MR03";"ANAESTHESIA CHARGES";"50"
"BLOOD BANK";"751A";"BLOOD GROUPING";"6"
"BLOOD BANK";"752A";"DIRECT COOMB'S TEST";"9"
"BLOOD BANK";"753A";"INDIRECT COOMB'S TEST";"9"
"BLOOD BANK";"754A";"ANTIBODY TITRE";"20"
"BLOOD BANK";"755A";"BLOOD RESERVATION";"7"
"BLOOD BANK";"756A";"1 UNIT OF BLOOD";"60"
"BLOOD BANK";"757A";"1 UNIT OF FRESH FROZEN PLASMA";"60"
"BLOOD BANK";"758A";"1 UNIT OF PLATELETS";"60"
"BLOOD BANK";"759A";"1 UNIT OF CRYOPRECIPITATE";"75"
"BLOOD BANK";"760A";"PLASMAPHERESIS";"700"
"BLOOD BANK";"761A";"PLATELET PHERESIS";"850"
"BLOOD BANK";"762A";"PREDONATION DONOR SCREENING FOR OPEN HEART S";"60"
"BLOOD BANK";"764A";"EXTERNAL CASE";"10"
"BLOOD BANK";"765A";"MANUAL PLASMAPHERESIS";"37"
